ReviewID	Word	Polarity
review_19	B000056PYW	other
review_19	:	other
review_19	decent_sound_quality	other
review_19	,	other
review_19	_	other
review_19	sensitive_mic	other
review_19	:	other
review_19	phallange	other
review_19	418461	other
review_19	B000056PYW	other
review_19	Jabra	other
review_19	EarBoom	other
review_19	for	other
review_19	phones	other
review_19	with	other
review_19	Universal	other
review_19	2.5	other
review_19	mm	other
review_19	Jack	other
review_19	:	other
review_19	Cell	other
review_19	Phones	other
review_19	&	other
review_19	Service	other
review_19	cell	other
review_19	phones	other
review_19	&	other
review_19	service	other
review_19	cell	other
review_19	phones	other
review_19	&	other
review_19	service	other
review_19	4	other
review_19	of	other
review_19	4	other
review_19	4.0	other
review_19	decent	other
review_19	sound	other
review_19	quality	other
review_19	,	other
review_19	sensitive	other
review_19	mic	other
review_19	August	other
review_19	3	other
review_19	,	other
review_19	2004	other
review_19	phallange	other
review_19	Huntington	other
review_19	Beach	other
review_19	,	other
review_19	CA	other
review_19	So	positive
review_19	I	positive
review_19	bought	positive
review_19	this	positive
review_19	thing	positive
review_19	based	positive
review_19	on	positive
review_19	the	positive
review_19	Amazon	positive
review_19	reviews	positive
review_19	and	positive
review_19	saved	positive
review_19	a	positive
review_19	bundle	positive
review_19	over	positive
review_19	the	positive
review_19	local	positive
review_19	retail	positive
review_19	cost	positive
review_19	-LRB-	positive
review_19	yeah	positive
review_19	Amazon	positive
review_19	!	positive
review_19	-RRB-	positive
review_19	,	other
review_19	but	other
review_19	that	other
review_19	's	other
review_19	not	other
review_19	why	other
review_19	I	other
review_19	'm	other
review_19	writing	other
review_19	this	other
review_19	review	other
review_19	.	other
review_19	I	positive
review_19	'd	positive
review_19	like	positive
review_19	to	positive
review_19	talk	positive
review_19	about	positive
review_19	the	positive
review_19	performance	positive
review_19	and	positive
review_19	comfort	positive
review_19	of	positive
review_19	the	positive
review_19	Earboom	positive
review_19	.	positive
review_19	The	positive
review_19	eargel	positive
review_19	thingies	positive
review_19	are	positive
review_19	designed	positive
review_19	quite	positive
review_19	well	positive
review_19	,	positive
review_19	of	positive
review_19	the	positive
review_19	three	positive
review_19	different	positive
review_19	sizes	positive
review_19	for	positive
review_19	each	positive
review_19	ear	positive
review_19	you	positive
review_19	`	positive
review_19	re	positive
review_19	bound	positive
review_19	to	positive
review_19	find	positive
review_19	one	positive
review_19	that	positive
review_19	fits	positive
review_19	very	positive
review_19	comfortably	positive
review_19	.	positive
review_19	Turns	negative
review_19	out	negative
review_19	I	negative
review_19	could	negative
review_19	n't	negative
review_19	find	negative
review_19	any	negative
review_19	that	negative
review_19	fit	negative
review_19	my	negative
review_19	right	negative
review_19	ear	negative
review_19	comfortably	negative
review_19	for	negative
review_19	extended	negative
review_19	periods	negative
review_19	of	negative
review_19	use	negative
review_19	but	positive
review_19	found	positive
review_19	a	positive
review_19	perfect	positive
review_19	fit	positive
review_19	in	positive
review_19	my	positive
review_19	mate	positive
review_19	on	positive
review_19	the	positive
review_19	other	positive
review_19	side	positive
review_19	.	positive
review_19	My	negative
review_19	wife	negative
review_19	had	negative
review_19	the	negative
review_19	exact	negative
review_19	opposite	negative
review_19	experience	negative
review_19	-	negative
review_19	hopefully	negative
review_19	our	negative
review_19	daughter	negative
review_19	will	negative
review_19	inherit	negative
review_19	more	negative
review_19	symmetrical	negative
review_19	ears	negative
review_19	!	negative
review_19	I	other
review_19	hate	other
review_19	jogging	other
review_19	so	other
review_19	ca	other
review_19	n't	other
review_19	comment	other
review_19	on	other
review_19	the	other
review_19	fit	other
review_19	during	other
review_19	that	other
review_19	activity	other
review_19	but	positive
review_19	can	positive
review_19	say	positive
review_19	the	positive
review_19	gels	positive
review_19	fit	positive
review_19	suprising	positive
review_19	well	positive
review_19	in	positive
review_19	the	positive
review_19	folds	positive
review_19	of	positive
review_19	your	positive
review_19	ear	positive
review_19	and	positive
