ReviewID	Word	Polarity
review_19	B0006SJZMU	other
review_19	:	other
review_19	a_poor_quality_phone_with_a_user_manual_that_leaves_too_much_unsaid	other
review_19	:	other
review_19	m	other
review_19	.	other
review_19	_	other
review_19	collins	other
review_19	B0006SJZMU	other
review_19	Motorola	other
review_19	V180	other
review_19	Phone	other
review_19	-LRB-	other
review_19	Unlocked	other
review_19	-RRB-	other
review_19	:	other
review_19	Cell	other
review_19	Phones	other
review_19	&	other
review_19	Service	other
review_19	cell	other
review_19	phones	other
review_19	&	other
review_19	service	other
review_19	1.0	other
review_19	A	other
review_19	poor	other
review_19	quality	other
review_19	phone	other
review_19	with	other
review_19	a	other
review_19	user	other
review_19	manual	other
review_19	that	other
review_19	leaves	other
review_19	too	other
review_19	much	other
review_19	unsaid	other
review_19	February	other
review_19	21	other
review_19	,	other
review_19	2007	other
review_19	M	other
review_19	.	other
review_19	Collins	other
review_19	Gaithersburg	other
review_19	,	other
review_19	MD	other
review_19	USA	other
review_19	I	negative
review_19	had	negative
review_19	to	negative
review_19	return	negative
review_19	this	negative
review_19	phone	negative
review_19	twice	negative
review_19	to	negative
review_19	Motorola	negative
review_19	for	negative
review_19	keys	negative
review_19	that	negative
review_19	were	negative
review_19	n't	negative
review_19	working	negative
review_19	.	negative
review_19	It	negative
review_19	was	negative
review_19	too	negative
review_19	frustrating	negative
review_19	.	negative
review_19	Ca	negative
review_19	n't	negative
review_19	use	negative
review_19	the	negative
review_19	phone	negative
review_19	in	negative
review_19	my	negative
review_19	house	negative
review_19	or	negative
review_19	at	negative
review_19	work	negative
review_19	although	positive_other_product
review_19	my	positive_other_product
review_19	prior	positive_other_product
review_19	Nokia	positive_other_product
review_19	worked	positive_other_product
review_19	well	positive_other_product
review_19	.	positive_other_product
review_19	There	positive
review_19	are	positive
review_19	some	positive
review_19	nice	positive
review_19	things	positive
review_19	--	positive
review_19	but	negative
review_19	these	negative
review_19	are	negative
review_19	externals	negative
review_19	and	negative
review_19	certainly	negative
review_19	not	negative
review_19	explained	negative
review_19	in	negative
review_19	the	negative
review_19	user	negative
review_19	manual	negative
review_19	.	negative
review_19	--	positive
review_19	customisation	positive
review_19	of	positive
review_19	the	positive
review_19	front	positive
review_19	screen	positive
review_19	is	positive
review_19	do-able	positive
review_19	.	positive
review_19	--	positive
review_19	there	positive
review_19	's	positive
review_19	a	positive
review_19	composer	positive
review_19	in	positive
review_19	the	positive
review_19	phone	positive
review_19	to	positive
review_19	compose	positive
review_19	your	positive
